                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.88534,                 1.1557,                 1.2403,                0.51744,                 0.7785,                0.76188,                0.52238,                 1.4529,                 2.1054,                 1.6922,               0.002575,               0.002575,               0.002575
                     77,                0.88059,                 1.0634,                 1.2147,                0.74887,                0.68852,                0.72759,                0.47835,                 1.4721,                 2.1892,                 1.6718,               0.002476,               0.002476,               0.002476
                     78,                0.79636,                0.98424,                 1.1463,                0.85353,                 0.6874,                0.75376,                0.51709,                 1.4729,                 2.1013,                 1.6791,               0.002377,               0.002377,               0.002377
                     79,                0.80721,                0.97116,                 1.1394,                0.77901,                0.70012,                0.73043,                 0.4911,                   1.46,                 2.1824,                 1.6659,               0.002278,               0.002278,               0.002278
                     80,                0.74058,                 0.9639,                 1.1112,                0.78856,                0.69073,                0.72472,                0.49343,                 1.4494,                 2.1991,                 1.6551,               0.002179,               0.002179,               0.002179
                     81,                0.82636,                 1.0373,                 1.1803,                 0.8157,                 0.6669,                0.71794,                0.48653,                 1.4258,                 2.2031,                  1.641,                0.00208,                0.00208,                0.00208
                     82,                0.76053,                0.92586,                  1.115,                 0.6565,                0.67125,                 0.6839,                0.44903,                  1.409,                 2.2439,                 1.6631,               0.001981,               0.001981,               0.001981
                     83,                0.76887,                0.92287,                 1.1188,                0.64623,                0.63333,                0.67908,                0.48914,                 1.4537,                 2.3329,                 1.6978,               0.001882,               0.001882,               0.001882
                     84,                 0.7286,                0.91818,                 1.1034,                0.48156,                  0.718,                0.54087,                0.37565,                 1.3953,                 2.2166,                 1.6563,               0.001783,               0.001783,               0.001783
                     85,                0.75391,                0.87904,                  1.093,                0.78051,                0.43761,                0.51845,                0.35717,                 1.3736,                 2.2863,                 1.6461,               0.001684,               0.001684,               0.001684
